title,authors,book_format,cur_price,old_price,isbn13,publisher,publication_date,pages,product_dimensions
The Nature of the Beast: A Chief Inspector Gamache Novel,Louise Penny ,Paperback,$10.86,$16.99,9781250022103,Minotaur Books; Reprint edition,07/26/16,400,5.4(w) x 8.3(h) x 1.1(d)
The Ghostwriter,Alessandra Torre ,Paperback,$12.23,$13.48,9781940941943,DCA,10/02/17,316,6(w) x 9(h) x 0.8(d)
Leave No Scone Unturned (Chef-to-Go Mysteries),Denise Swanson ,Mass Market Paperback,$6.47,$7.99,9781492648413,Sourcebooks Landmark,03/26/19,,4.2(w) x 6.9(h) x 1.1(d)
Dead End Girl (Violet Darger) (Volume 1),L.T. Vargus and Tim McBain ,Paperback,$11.86,$16.99,9781544172866,CreateSpace Independent Publishing Platform,02/27/17,518,6(w) x 9(h) x 1.3(d)
Out of Range (A Joe Pickett Novel),C. J. Box ,Paperback,$8.99,$9.99,9780399575723,G.P. Putnam's Sons,07/05/16,368,4.2(w) x 7.5(h) x 0.9(d)
Deadly Class Deluxe Edition Volume 1: Noise Noise Noise,Rick Remender and Wes Craig ,Hardcover,$32.88,$49.99,9781632156648,Image Comics; Deluxe ed. edition,07/05/16,440,8.2(w) x 12.3(h) x 1.7(d)
The Killer Collective,Barry Eisler ,Paperback,$10.97,$15.95,9781503900950,Thomas & Mercer,02/01/19,415,5.5(w) x 8.2(h) x 1(d)
Backlash,Lisa Jackson ,Mass Market Paperback,$5.75,$7.99,9781420148213,Zebra,02/26/19,,4.1(w) x 6.7(h) x 1.3(d)
The Force: A Novel,Don Winslow ,Paperback,$9.48,$16.99,9780062664433,William Morrow Paperbacks; Reprint edition,03/13/18,528,5.3(w) x 8(h) x 1.2(d)
The Punishment She Deserves: A Lynley Novel,Elizabeth George ,Paperback,$11.59,$17.00,9780451467867,Penguin Books; Reprint edition,03/19/19,704,5.5(w) x 8.4(h) x 1.4(d)
Ghost Fleet: A Novel of the Next World War,P. W. Singer and August Cole ,Paperback,$14.39,$15.99,9780544705050,Mariner Books; Reprint edition,05/24/16,416,5.6(w) x 8.4(h) x 1(d)
Natchez Burning: A Novel (Penn Cage),Greg Iles ,Paperback,$9.89,$17.99,9780062311085,William Morrow Paperbacks; Reprint edition,08/04/15,816,5.3(w) x 8(h) x 1.3(d)
The Body,Stephen King ,Paperback,$11.69,$12.99,9781982103538,Scribner,06/05/18,192,5.5(w) x 8.4(h) x 0.5(d)
Without Fail (Jack Reacher),Lee Child ,Mass Market Paperback,$8.99,$9.99,9780515144314,Berkley; Reprint edition,02/26/08,,4.3(w) x 7.6(h) x 1.2(d)
Luckiest Girl Alive: A Novel,Jessica Knoll ,Paperback,$11.56,$15.99,9781476789644,Simon & Schuster; Reprint edition,04/05/16,368,5.5(w) x 8.4(h) x 1(d)
"Tightrope (Burning Cove, California)",Amanda Quick ,Hardcover,$17.70,$27.00,9780399585364,Berkley,05/07/19,320,6(w) x 9(h) x 0.8(d)
Treasure Hunters: Secret of the Forbidden City,"James Patterson , Chris Grabenstein , et al. ",Hardcover,$10.81,$14.99,9780316284806,jimmy patterson; Reprint edition,09/14/15,448,5.5(w) x 8(h) x 1.5(d)
The Sweetness at the Bottom of the Pie: A Flavia de Luce Mystery,Alan Bradley ,Paperback,$10.87,$16.00,9780385343497,Bantam; Reprint edition,01/19/10,416,5.2(w) x 8(h) x 0.9(d)
Free Fire (A Joe Pickett Novel),C. J. Box ,Paperback,$8.99,$9.99,9780735211940,G.P. Putnam's Sons; Reprint edition,08/02/16,448,4.2(w) x 7.6(h) x 0.9(d)
Deadly Class Volume 2: Kids of the Black Hole (Deadly Class Tp),"Rick Remender , Wes Craig , et al. ",Paperback,$10.19,$16.99,9781632152220,Image Comics,03/05/19,128,6.4(w) x 10.1(h) x 0.4(d)
Kill Creek,Scott Thomas ,Paperback,$13.53,$15.99,9781942645825,Inkshares,10/31/17,432,6(w) x 8.2(h) x 1.2(d)
Plum Tea Crazy (A Tea Shop Mystery),Laura Childs ,Mass Market Paperback,$6.47,$7.99,9780451489616,Berkley; Reissue edition,02/26/19,,4.1(w) x 6.8(h) x 0.8(d)
The Green Mile: The Complete Serial Novel,Stephen King ,Mass Market Paperback,$8.99,$9.99,9781501160448,Pocket Books,06/27/17,,4.1(w) x 7.5(h) x 1.1(d)
Hope Never Dies: An Obama Biden Mystery (Obama Biden Mysteries),Andrew Shaffer ,Paperback,$11.67,$14.99,9781683690399,Quirk Books; First Edition edition,07/10/18,304,5.2(w) x 8(h) x 0.8(d)
Leaving Time (with bonus novella Larger Than Life): A Novel,Jodi Picoult ,Paperback,$11.46,$16.00,9780345544940,Ballantine Books; Reprint edition,04/28/15,496,5.4(w) x 8.2(h) x 1.1(d)
"The Girl Who Takes an Eye for an Eye: A Lisbeth Salander novel, continuing Stieg Larsson's Millennium Series",David Lagercrantz and George Goulding ,Paperback,$12.68,$16.95,9781101974162,Vintage Crime/Black Lizard; Reprint edition,06/26/18,464,5.2(w) x 8(h) x 1(d)
In Plain Sight (A Joe Pickett Novel),C. J. Box ,Paperback,$8.99,$9.99,9780399575730,G.P. Putnam's Sons; Reprint edition,07/05/16,352,4.2(w) x 7.5(h) x 0.9(d)
Swan Song,Robert McCammon ,Mass Market Paperback,$8.99,$10.99,9781501131424,Pocket Books,07/26/16,,4.1(w) x 7.5(h) x 1.9(d)
Tailspin,Sandra Brown ,Paperback,$10.49,$15.99,9781455572113,Grand Central Publishing; Reprint edition,02/05/19,432,5.2(w) x 8(h) x 1.4(d)
The Black Ice (Harry Bosch),Michael Connelly ,Mass Market Paperback,$9.00,$10.00,9781455550623,Grand Central Publishing; Reprint edition,10/15/13,,4.2(w) x 7.6(h) x 1(d)
The Labyrinth of the Spirits: A Novel (Cemetery of Forgotten Books),Carlos Ruiz Zafon ,Hardcover,$23.78,$37.50,9780062668691,"Harper; First American Edition, First Printing edition",09/18/18,816,6(w) x 9(h) x 1.6(d)
Storm Front (Dresden Files),Jim Butcher ,Mass Market Paperback,$8.99,$9.99,9780451457813,Roc; 1st edition,04/01/00,,4.2(w) x 7.5(h) x 1(d)
The Eyes of the Dragon: A Novel,Stephen King ,Paperback,$11.59,$17.00,9781501192203,Gallery Books; Reprint edition,01/09/18,384,5.3(w) x 8.2(h) x 1(d)
The Road Beyond Ruin,Gemma Liviero ,Paperback,$10.37,$14.95,9781503901018,Lake Union Publishing,01/01/19,443,5.5(w) x 8.2(h) x 1(d)
Injustice for All (Joe Dillard Series),Scott Pratt ,Paperback,$9.37,$12.99,9781481018463,CreateSpace Independent Publishing Platform,11/26/12,391,5(w) x 8(h) x 0.9(d)
The Secret Orphan,Glynis Peters ,Paperback,$11.59,$16.99,9780008348021,HarperImpulse,07/23/19,400,5.1(w) x 7.8(h)
Reasonable Fear (Joe Dilllard),Scott Pratt ,Paperback,$11.18,$12.99,9781481215664,CreateSpace Independent Publishing Platform,12/10/12,319,5(w) x 8(h) x 0.7(d)
Back Blast (Gray Man),Mark Greaney ,Paperback,$8.99,$9.99,9780425282847,Berkley,01/03/17,752,4.2(w) x 7.6(h) x 1.6(d)
A Friend Is a Gift You Give Yourself: A Novel,William Boyle ,Hardcover,$23.36,$25.95,9781643130583,Pegasus Books,03/05/19,320,6.3(w) x 9.3(h) x 1.1(d)
The Silkworm (A Cormoran Strike Novel),Robert Galbraith ,Paperback,$10.37,$18.00,9780316206891,Mulholland Books; Reprint edition,06/02/15,464,5.5(w) x 8.2(h) x 1.5(d)
The Colors of All the Cattle: No. 1 Ladies' Detective Agency (19) (No. 1 Ladies' Detective Agency Series),Alexander McCall Smith ,Paperback,$10.97,$15.95,9780525564263,Anchor; Reprint edition,05/07/19,240,5.2(w) x 8(h) x 0.7(d)
Mr. Mercedes: A Novel (The Bill Hodges Trilogy),Stephen King ,Paperback,$13.50,$17.00,9781476754475,Gallery Books; Reprint edition,01/06/15,448,5.3(w) x 8.2(h) x 1.4(d)
Into the Water: A Novel,Paula Hawkins ,Paperback,$11.06,$16.00,9780735211223,Riverhead Books; Reprint edition,05/01/18,400,5.1(w) x 7.9(h) x 1(d)
"Say You're Sorry (Sacramento Series, The)",Karen Rose ,Hardcover,$16.97,$26.00,9780399586729,Berkley,02/12/19,624,6.3(w) x 9.3(h) x 1.9(d)
"White Rose, Black Forest",Eoin Dempsey ,Paperback,$7.48,$14.95,9781503954052,Lake Union Publishing; Reprint edition,08/28/18,271,5.5(w) x 8.2(h) x 1(d)
The Colorado Kid (Hard Case Crime),Stephen King ,Paperback,$9.17,$12.95,9781789091557,Hard Case Crime,05/07/19,208,5(w) x 8(h) x 0.5(d)
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson ,Mass Market Paperback,$8.37,$9.99,9780307949486,"Vintage Crime/Black Lizard; Media Tie In, Reissue edition",11/22/11,,4.2(w) x 7.5(h) x 1.6(d)
Murder on Trinity Place (A Gaslight Mystery),Victoria Thompson ,Hardcover,$17.10,$26.00,9780399586637,Berkley,04/30/19,336,5.4(w) x 8.3(h) x 1.1(d)
Tripwire (Jack Reacher),Lee Child ,Mass Market Paperback,$8.99,$9.99,9780515143072,Berkley; Reprint edition,05/29/07,,4.2(w) x 7.6(h) x 1.2(d)
Death at La Fenice: A Commissario Guido Brunetti Mystery,Donna Leon ,Paperback,$10.87,$14.99,9780060740689,Harper Perennial; Reprint edition,07/27/04,270,5.3(w) x 8(h) x 0.7(d)
