title,authors,book_format,cur_price,old_price,isbn13,publisher,publication_date,pages,product_dimensions
Brady vs Manning: The Untold Story of the Rivalry That Transformed the NFL,Gary Myers,Paperback,$14.40,$16.00,9780804139397,Crown/Archetype,09/20/2016,304,5.20(w) x 8.10(h) x 0.70(d)
Branch Rickey,Jimmy Breslin,Paperback,$15.30,$17.00,9780143120476,Penguin Publishing Group,02/28/2012,160,4.90(w) x 7.00(h) x 0.60(d)
Brat Farrar,Josephine Tey,Paperback,$15.82,$16.00,9780684803852,Scribner,09/02/1997,288,5.25(w) x 8.00(h) x 0.60(d)
BRAVE,Rose McGowan,Hardcover,$25.19,$27.99,9780062655981,HarperCollins Publishers,01/30/2018,272,6.30(w) x 8.90(h) x 1.20(d)
Brave New World,Aldous Huxley,Paperback,$14.08,$15.99,9780060850524,HarperCollins Publishers,10/17/2006,288,5.20(w) x 7.80(h) x 0.70(d)
Brave New World: Inside Pochettino's Spurs,Guillem Balague,Paperback,$15.59,$15.99,9781409157731,"Orion Publishing Group, Limited",11/20/2018,368,5.10(w) x 7.70(h) x 1.10(d)
Breach of Peace: Portraits of the 1961 Mississippi Freedom Riders,Eric Etheridge,Paperback,$26.96,$29.95,9780826521903,Vanderbilt University Press,05/15/2018,265,9.00(w) x 12.00(h) x (d)
"Breakfast of Champions, or Goodbye Blue Monday",Kurt Vonnegut,Paperback,$15.51,$17.00,9780385334204,Random House Publishing Group,05/11/1999,320,7.92(w) x 5.14(h) x 0.81(d)
Breaking Babe Ruth: Baseball's Campaign Against Its Biggest Star,Edmund F. Wehrle,Hardcover,$26.96,$29.95,9780826221605,University of Missouri Press,05/31/2018,288,6.20(w) x 9.10(h) x 1.10(d)
Breaking In: The Rise of Sonia Sotomayor and the Politics of Justice,Joan Biskupic,Paperback,$15.00,$15.00,9780374535667,"Farrar, Straus and Giroux",10/13/2015,288,5.50(w) x 8.40(h) x 0.80(d)
"Breath, Eyes, Memory",Edwidge Danticat,Paperback,$14.69,$16.00,9781616955021,"Soho Press, Incorporated",02/24/2015,272,5.53(w) x 8.23(h) x 0.72(d)
Breath: A Novel,Tim Winton,Paperback,$15.73,$16.00,9780312428396,Picador,05/26/2009,224,5.48(w) x 8.28(h) x 0.60(d)
Brick Lane,Monica Ali,Paperback,$16.20,$18.00,9780743243315,Scribner,05/25/2004,432,5.10(w) x 7.90(h) x 1.00(d)
Brida: A Novel,Paulo Coelho,Paperback,$13.49,$14.99,9780061578953,HarperCollins Publishers,02/10/2009,256,5.30(w) x 7.90(h) x 0.70(d)
Bridge to Haven,Francine Rivers,Paperback,$14.39,$15.99,9781414368191,Tyndale House Publishers,04/01/2015,480,6.00(w) x 8.90(h) x 1.30(d)
"Brief Encounters: Conversations, Magic Moments, and Assorted Hijinks",Dick Cavett,Paperback,$15.24,$15.99,9781250070753,St. Martin's Press,10/20/2015,288,5.40(w) x 8.30(h) x 0.90(d)
Bright Young Dead (Mitford Murders Series #2),Jessica Fellowes,Hardcover,$24.29,$26.99,9781250170811,St. Martin's Press,10/30/2018,400,6.10(w) x 9.10(h) x 1.60(d)
Brighton Rock: (Penguin Classic Deluxe Edition),Graham Greene,Paperback,$16.20,$18.00,9780142437971,Penguin Publishing Group,09/28/2004,288,5.60(w) x 8.40(h) x 0.74(d)
