A_id,B_id
1233,4188
649,4515
2252,2006
2604,3914
1888,726
1831,3081
1678,2946
627,4515
448,2416
2130,4515
2157,3517
926,3804
2774,4515
4490,4515
1977,3237
2261,1787
2190,4448
3149,523
504,2692
1692,4092
2997,4515
2205,4515
395,4515
479,1639
3345,5189
1766,5007
1008,4953
1380,4090
2746,4515
1434,3312
2777,4515
3689,4515
176,2418
630,4515
1934,4515
2070,4470
2324,2702
1877,4515
1558,3729
673,4515
3822,4515
534,4515
1502,4205
1286,4515
2308,4515
195,4515
18,4515
1792,1004
723,3506
1254,4092
1394,2147
3232,2657
1769,4102
1946,3996
1759,4433
1614,1318
594,2912
2664,4958
3954,4368
594,4515
1474,146
1928,2200
2918,2206
1208,1359
1084,4092
1433,4092
2294,873
383,3658
2000,870
4605,2190
1917,2435
2465,4515
3921,1286
1037,4467
3828,2066
1400,3557
766,2409
1911,4515
935,3865
2264,4881
808,578
1400,4383
1038,4515
3450,4515
2463,1909
214,4515
1027,658
1905,197
2337,4415
1375,4560
1518,4515
2425,851
1053,3084
1172,4731
2333,4515
1638,3782
845,4515
1207,5087
768,3660
1301,4515
899,1660
1729,4127
1321,232
2276,4049
1710,3526
1540,5063
1708,3883
975,4888
1233,4163
1573,3820
2194,3988
2325,4515
732,212
2346,2294
1354,4031
3191,4515
1161,4881
4022,551
1216,3622
608,2375
1186,94
1837,3516
2668,4378
3388,1819
1151,58
3479,3032
1205,4515
1977,3352
583,2107
2662,4515
2286,3761
1082,4796
1354,4711
3609,4515
1672,41
2505,13
2525,3914
1198,4515
2088,4515
3903,1779
1374,3815
2145,820
2906,278
1993,4515
2365,4092
720,3674
1832,1606
4070,3047
2244,3430
1311,4031
3853,4242
125,2173
3605,1700
1111,4854
2260,4711
384,4057
1738,4814
3098,1549
1573,3557
2260,4802
1483,1729
1573,4383
3782,2555
1728,4515
3478,5438
1638,4515
2810,4357
1529,3865
1672,4959
2107,2990
1886,4070
1200,3627
397,4515
1837,4711
2313,2990
1728,4291
1208,2770
1496,3884
1678,4163
1720,4996
1481,3925
1519,4515
3603,698
3970,4515
1082,4474
4131,4515
4583,4527
873,4515
2007,4383
891,4515
582,4515
1653,2338
3718,3999
2237,2749
1453,4515
1222,4277
2224,4515
2556,895
935,4362
1170,2548
3198,5404
1983,1271
2045,352
3837,4515
3643,4515
1457,586
2546,4667
1208,1606
1621,4383
2271,4515
1969,680
2500,1092
3804,2681
979,1201
4032,2974
3928,4515
68,2416
858,4515
3878,2911
3106,4515
1529,4850
3359,3407
1630,4733
1474,1321
3004,5417
3556,3353
2636,4515
846,4201
1467,3084
2295,4647
2537,4515
2323,4954
783,4515
4068,5296
2496,722
2592,4647
4649,4515
2471,2904
3885,4515
330,5338
2463,4082
2067,4340
1561,4085
4053,5409
1859,4005
2974,5239
3963,4193
2772,2990
2248,1705
3452,2957
2284,5437
3586,1754
1823,4515
2130,4118
1942,4493
135,905
1835,3959
4647,2019
1254,4850
527,4515
1249,647
1820,4563
3023,4515
4124,4515
4150,4114
3446,4515
2232,4776
3945,4515
382,3840
2315,4515
1978,3731
1638,4830
1277,4850
1610,617
2895,4320
3592,2094
1725,4035
3664,2764
1919,807
1394,647
932,1726
1728,4445
1672,4228
3467,1336
1170,2543
3117,5302
1004,4730
1863,4029
1400,3541
959,4856
2629,4515
636,4515
1978,4515
1888,2770
1926,2643
3074,5290
1999,4043
3408,4515
361,4515
3684,4871
277,484
2260,3557
1814,4438
3963,4515
2323,4714
1434,726
1837,3557
882,4515
877,2731
1621,3976
721,5342
296,2183
995,5205
2590,4456
1769,3580
1793,4165
1964,4515
2447,4936
2666,4594
3408,1530
1433,3865
3686,4311
1432,5022
2978,4515
674,4515
1593,1870
2409,4515
2903,341
2711,4515
1573,4587
1506,5414
2282,4299
2463,4515
4697,4515
1573,3541
1082,4490
1963,3393
3971,4515
1529,1295
3902,2833
3647,4515
1818,4826
2225,1059
1139,4675
2179,4515
2084,4455
827,4515
4739,4515
204,4515
2774,4383
930,2711
1415,4515
2575,4515
2286,4600
2784,3672
1351,2990
47,3910
2204,4515
1683,5047
1709,10
1813,605
73,2912
931,3530
1488,4515
3771,1133
51,1893
2167,3409
915,4515
385,2518
4136,3130
1710,4758
3415,4515
2005,3720
1678,1004
2281,5081
73,2911
1917,2313
499,3510
279,3079
2500,1359
1375,2840
685,495
3705,4515
1899,3559
2447,4936
1128,3797
2231,4175
1417,3962
2863,4515
3665,5341
1173,2593
1400,4031
2894,4515
1028,4958
1831,3956
2162,5452
1328,154
1609,5072
94,2772
2177,4206
2463,2904
1675,1749
1249,2338
3590,4515
2291,4515
780,4515
2137,3521
274,4515
995,1318
2899,18
1585,4059
1554,4515
4120,3202
4153,4137
1699,4667
592,4515
3029,4515
3920,4628
1337,4589
1593,2338
441,3650
4080,1731
3422,4515
1609,2448
1277,4646
1837,4674
1245,3803
1637,4077
776,4212
2063,5277
226,3903
1019,1845
2225,1318
1898,1027
2490,4515
1609,72
1328,4394
1218,5282
3948,2865
1405,4515
247,4515
1481,3977
1345,1059
2299,4515
3715,3249
2225,1004
2051,4642
1801,2820
1529,4092
1519,4667
3087,3149
2323,4474
21,3481
1007,1260
1313,5360
1593,3685
1678,1318
1777,4515
4078,2186
3598,1355
3714,4515
2323,3914
1989,4224
1832,2474
2922,1894
2939,703
3181,4515
1277,4362
2260,4406
1311,3557
2225,1490
931,4092
650,4515
1621,4406
1214,4092
757,4515
1835,4736
2571,1558
1858,1027
562,4593
3384,4515
1037,3803
3881,4832
959,3898
1476,3541
1082,4183
1216,3883
2502,3528
3446,3986
1433,4111
2314,3409
3757,2339
2258,4515
2425,4515
1353,4515
3920,4627
3002,548
1374,3921
4574,1380
2227,1947
1354,4674
1037,4467
3671,4853
1725,3845
1581,4515
281,2181
1680,3565
1077,1000
1690,786
3661,4515
1898,1007
3349,2456
1476,4031
1014,1805
4719,4515
1421,4515
1653,647
2182,4455
1990,4048
2525,4732
1593,130
766,2428
263,4515
1170,2546
2643,4515
309,4515
4028,269
2260,4031
241,1738
2420,4896
282,4515
2120,129
1277,4035
1573,4031
1816,1823
4032,2974
1249,5072
1254,4712
847,4515
3400,4515
4071,4515
404,2264
2494,2321
1699,4423
2700,4515
1859,4515
3924,3026
241,4515
205,3371
2,3266
1400,4674
758,1235
239,2951
1971,4128
1902,2610
2163,515
1354,3820
2572,4515
148,4515
1725,4111
2288,5247
3509,1134
2107,711
1195,2338
213,3471
1971,4644
2425,1049
2173,4518
313,4515
1468,3914
2874,2528
1606,4515
1028,4515
2365,4164
1226,3541
1421,4711
2337,1016
1888,1606
1886,4515
1618,4122
1099,3622
1886,4010
1883,3147
